"Violation ID","Primary Building Identifier","Primary Boro Identifier","Primary Borough Name","Primary House Number","Primary Low House Number","Primary High House Number","Primary Street Name","Primary Postcode","Development Name","TDS Number","Stairhall Number","NYCHA Address Section BoroID","NYCHA Address Section Borough","NYCHA Address Section House Number","NYCHA Address Section Street Name","NYCHA Address Section PostCode","Apartment","Story","Block","Lot","Violation Description","Class","Inspection Date","Approved Date","Order Number","Issued in Error","Latitude","Longitude","Community Board","Council District","BIN","BBL","Census Tract (2020)","Neighborhood Tabulation Area (NTA) (2020)"
"18622926","810254","4","QUEENS","27-25","27-25","27-25","1 STREET","11102","ASTORIA","26","11","4","QUEENS","27-25","1ST STREET","11102","GH","1","00490","0101","§ 27-2017.3 HMC: TRACE AND REPAIR THE SOURCE AND ABATE THE VISIBLE MOLD CONDITION... LESS THAN 10 SQUARE FEET AT CEILING   IN THE  BATHROOM  LOCATED AT APT GH, 1st STORY, 1st APARTMENT FROM EAST AT SOUTH","A","02/06/2026","02/06/2026","550","N","40.774993","-73.936448","401","22","4430784","4004900101","87","QN0102"
"18629669","805002","1","MANHATTAN","1829","1829","1839","LEXINGTON AVENUE","10029","JOHNSON","17","13","1","MANHATTAN","1829","LEXINGTON AVENUE","10029","10G","10","01640","0021","§ 27-2017.3 HMC: TRACE AND REPAIR THE SOURCE AND ABATE THE VISIBLE MOLD CONDITION... LESS THAN 10.SQ.FT AT CEILING  IN THE  BATHROOM  LOCATED AT APT 10G, 10th STORY, 1st APARTMENT FROM SOUTH AT WEST","A","02/09/2026","02/09/2026","550","N","40.796762","-73.942968","111","8","1087213","1016400021","182","MN1102"
"18641288","807996","3","BROOKLYN","35","35","53","DWIGHT STREET","11231","RED HOOK WEST","79","64","3","BROOKLYN","420","COLUMBIA STREET","11231","3C","3","00533","0001","§ 27-2017.3 HMC: TRACE AND REPAIR THE SOURCE AND ABATE THE VISIBLE MOLD CONDITION... GREATER THAN 10 SQ FT AT CEILING   IN THE  KITCHEN  LOCATED AT APT 3C, 3rd STORY, 1st APARTMENT FROM NORTH AT EAST","B","02/13/2026","02/13/2026","550","N","40.677638","-74.007138","306","38","3326974","3005330001","85","BK0601"
"18629670","805002","1","MANHATTAN","1829","1829","1839","LEXINGTON AVENUE","10029","JOHNSON","17","13","1","MANHATTAN","1829","LEXINGTON AVENUE","10029","10G","10","01640","0021","§ 27-2017.3 HMC: TRACE AND REPAIR THE SOURCE AND ABATE THE VISIBLE MOLD CONDITION... LESS THAN 10.SQ.FT AT CEILING  IN THE  KITCHEN  LOCATED AT APT 10G, 10th STORY, 1st APARTMENT FROM SOUTH AT WEST","A","02/09/2026","02/09/2026","550","N","40.796762","-73.942968","111","8","1087213","1016400021","182","MN1102"
"18629671","805002","1","MANHATTAN","1829","1829","1839","LEXINGTON AVENUE","10029","JOHNSON","17","13","1","MANHATTAN","1829","LEXINGTON AVENUE","10029","10G","10","01640","0021","§ 27-2017.3 HMC: TRACE AND REPAIR THE SOURCE AND ABATE THE VISIBLE MOLD CONDITION... LESS THAN 10.SQ.FT AT CEILING   IN THE  PRIVATE HALLWAY  LOCATED AT APT 10G, 10th STORY, 1st APARTMENT FROM SOUTH AT WEST","A","02/09/2026","02/09/2026","550","N","40.796762","-73.942968","111","8","1087213","1016400021","182","MN1102"
"18652131","120460","2","BRONX","1320","1318","1332","WEBSTER AVENUE","10456","BUTLER","113","1","2","BRONX","1330","WEBSTER AVENUE","10456","1D","1","02894","0001","§ 27-2017.3 HMC: TRACE AND REPAIR THE SOURCE AND ABATE THE VISIBLE MOLD CONDITION... MORE THAN (10) SQ FT AT CEILING, EAST, SOUTH, WEST WALLS, AND WALLS AT THE 1ST CLOSET AT NORTH   IN THE  3rd ROOM  FROM EAST AT SOUTH LOCATED AT APT 1D, 1st STORY, 1st APARTMENT FROM EAST AT SOUTH","C","02/18/2026","02/18/2026","550","N","40.834189","-73.90854","203","16","2092074","2028940001","14701","BX0302"
"18654935","847216","3","BROOKLYN","542","542","546","FLUSHING AVENUE","11206","MARCY","21","19","3","BROOKLYN","542","FLUSHING AVENUE","11206","2A","2","01719","0001","§ 27-2005 HMC: PROPERLY REPAIR OR REPLACE THE BROKEN OR DEFECTIVE MOLDY CAULK AT JOINT BETWEEN THE BATHTUB AND ALL WALLS OF SHOWER ENCLOSURE   IN THE  BATHROOM  LOCATED AT APT 2A, 2nd STORY, 2nd APARTMENT FROM NORTH AT EAST","B","02/19/2026","02/19/2026","501","N","40.699583","-73.951735","303","36","3325581","3017190001","255","BK0301"
"18662256","972853","1","MANHATTAN","3150","3140","3150","BROADWAY","10027","GRANT","87","2","1","MANHATTAN","3150","BROADWAY","10027","11E","11","01980","0001","§ 27-2017.3 HMC: TRACE AND REPAIR THE SOURCE AND ABATE THE VISIBLE MOLD CONDITION... GREATER THAN 10 SQUARE FEET AT THE WEST WALL   IN THE  4th ROOM  FROM NORTH AT WEST LOCATED AT APT 11E, 11th STORY, 2nd APARTMENT FROM SOUTH AT WEST","B","02/24/2026","02/24/2026","550","N","40.814239","-73.959336","109","7","1084117","1019800001","211","MN0901"
"18635496","808526","3","BROOKLYN","811","811","817","HICKS STREET","11231","RED HOOK EAST","4","26","3","BROOKLYN","811","HICKS STREET","11231","1C","1","00538","0001","§ 27-2017.3 HMC: TRACE AND REPAIR THE SOURCE AND ABATE THE VISIBLE MOLD CONDITION... GREATER THAN 10 SQ FT AT CEILING   IN THE  KITCHEN  LOCATED AT APT 1C, 1st STORY, 1st APARTMENT FROM SOUTH AT WEST","B","02/11/2026","02/12/2026","550","N","40.675324","-74.005451","306","38","3332230","3005380001","85","BK0601"
"18639299","807814","3","BROOKLYN","198","198","198","BOND STREET","11217","GOWANUS","25","12","3","BROOKLYN","198","BOND STREET","11217","8C","8","00392","0001","§ 27-2017.3 HMC: TRACE AND REPAIR THE SOURCE AND ABATE THE VISIBLE MOLD CONDITION... LESS THAN 10 SQ FT AT CAULKING AROUND BATHTUB   IN THE  BATHROOM  LOCATED AT APT 8C, 8th STORY, 2nd APARTMENT FROM WEST AT NORTH","A","02/12/2026","02/12/2026","550","N","40.683171","-73.987413","306","39","3323300","3003920001","71","BK0601"
